2022-01-15 22:30:04,624 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2022-01-15 22:30:05,947 param size = 0.046234MB
2022-01-15 22:30:05,948 Starting epoch 1/5
2022-01-15 23:07:11,452 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2022-01-15 23:07:12,724 param size = 0.046234MB
2022-01-15 23:07:12,725 Starting epoch 1/5
2022-01-15 23:07:54,294 train mini-batch 027, loss=2.148737e+00 accuracy=20.703125
2022-01-15 23:07:55,540 train mini-batch 028, loss=2.141421e+00 accuracy=20.689655
2022-01-15 23:07:56,806 train mini-batch 029, loss=2.135823e+00 accuracy=20.677083
2022-01-15 23:07:58,095 train mini-batch 030, loss=2.127904e+00 accuracy=21.018145
2022-01-15 23:07:59,437 train mini-batch 031, loss=2.123830e+00 accuracy=21.191406
2022-01-15 23:08:00,777 train mini-batch 032, loss=2.115526e+00 accuracy=21.354167
2022-01-15 23:08:02,068 train mini-batch 033, loss=2.110994e+00 accuracy=21.415441
2022-01-15 23:08:03,323 train mini-batch 034, loss=2.102555e+00 accuracy=21.875000
2022-01-15 23:08:04,593 train mini-batch 035, loss=2.094217e+00 accuracy=22.265625
2022-01-15 23:08:05,934 train mini-batch 036, loss=2.086052e+00 accuracy=22.592905
2022-01-15 23:08:07,299 train mini-batch 037, loss=2.079881e+00 accuracy=22.738487
2022-01-15 23:08:08,659 train mini-batch 038, loss=2.070612e+00 accuracy=22.996795
2022-01-15 23:08:10,048 train mini-batch 039, loss=2.062632e+00 accuracy=23.359375
2022-01-15 23:08:11,409 train mini-batch 040, loss=2.056850e+00 accuracy=23.399390
2022-01-15 23:08:12,733 train mini-batch 041, loss=2.051659e+00 accuracy=23.549107
2022-01-15 23:08:13,987 train mini-batch 042, loss=2.042484e+00 accuracy=24.055233
2022-01-15 23:08:15,309 train mini-batch 043, loss=2.032550e+00 accuracy=24.502841
2022-01-15 23:08:16,555 train mini-batch 044, loss=2.024494e+00 accuracy=24.930556
2022-01-15 23:08:17,829 train mini-batch 045, loss=2.015751e+00 accuracy=25.305707
2022-01-15 23:08:19,086 train mini-batch 046, loss=2.008277e+00 accuracy=25.598404
2022-01-15 23:08:20,408 train mini-batch 047, loss=2.002331e+00 accuracy=25.813802
2022-01-15 23:08:21,750 train mini-batch 048, loss=1.997384e+00 accuracy=26.052296
2022-01-15 23:08:22,993 train mini-batch 049, loss=1.989082e+00 accuracy=26.437500
2022-01-15 23:08:24,218 train mini-batch 050, loss=1.983276e+00 accuracy=26.807598
2022-01-15 23:08:25,498 train mini-batch 051, loss=1.976777e+00 accuracy=27.163462
2022-01-15 23:08:26,862 train mini-batch 052, loss=1.970176e+00 accuracy=27.623821
2022-01-15 23:08:28,112 train mini-batch 053, loss=1.964776e+00 accuracy=27.835648
2022-01-15 23:08:29,371 train mini-batch 054, loss=1.959664e+00 accuracy=28.068182
2022-01-15 23:08:30,717 train mini-batch 055, loss=1.952820e+00 accuracy=28.292411
2022-01-15 23:08:31,950 train mini-batch 056, loss=1.947466e+00 accuracy=28.673246
2022-01-15 23:08:33,180 train mini-batch 057, loss=1.942131e+00 accuracy=28.798491
2022-01-15 23:08:34,453 train mini-batch 058, loss=1.937059e+00 accuracy=28.998941
2022-01-15 23:08:35,788 train mini-batch 059, loss=1.929783e+00 accuracy=29.244792
2022-01-15 23:08:37,098 train mini-batch 060, loss=1.925551e+00 accuracy=29.354508
2022-01-15 23:08:38,330 train mini-batch 061, loss=1.921665e+00 accuracy=29.485887
2022-01-15 23:08:39,624 train mini-batch 062, loss=1.915503e+00 accuracy=29.712302
2022-01-15 23:08:40,880 train mini-batch 063, loss=1.908785e+00 accuracy=30.053711
2022-01-15 23:08:42,135 train mini-batch 064, loss=1.902796e+00 accuracy=30.312500
2022-01-15 23:08:43,457 train mini-batch 065, loss=1.896513e+00 accuracy=30.610795
2022-01-15 23:08:44,763 train mini-batch 066, loss=1.893932e+00 accuracy=30.643657
2022-01-15 23:08:46,001 train mini-batch 067, loss=1.888818e+00 accuracy=30.698529
2022-01-15 23:08:47,326 train mini-batch 068, loss=1.885470e+00 accuracy=30.865036
2022-01-15 23:08:48,546 train mini-batch 069, loss=1.881242e+00 accuracy=31.026786
2022-01-15 23:08:49,895 train mini-batch 070, loss=1.878044e+00 accuracy=31.205986
2022-01-15 23:08:51,119 train mini-batch 071, loss=1.875694e+00 accuracy=31.228299
2022-01-15 23:08:52,353 train mini-batch 072, loss=1.872355e+00 accuracy=31.228596
2022-01-15 23:08:53,645 train mini-batch 073, loss=1.868366e+00 accuracy=31.376689
2022-01-15 23:08:54,998 train mini-batch 074, loss=1.862725e+00 accuracy=31.645833
2022-01-15 23:08:56,330 train mini-batch 075, loss=1.855683e+00 accuracy=31.866776
2022-01-15 23:08:57,577 train mini-batch 076, loss=1.852014e+00 accuracy=31.960227
2022-01-15 23:08:58,920 train mini-batch 077, loss=1.847662e+00 accuracy=32.191506
2022-01-15 23:09:00,178 train mini-batch 078, loss=1.844388e+00 accuracy=32.258703
2022-01-15 23:09:01,412 train mini-batch 079, loss=1.841563e+00 accuracy=32.265625
2022-01-15 23:09:02,701 train mini-batch 080, loss=1.837261e+00 accuracy=32.388117
2022-01-15 23:09:04,032 train mini-batch 081, loss=1.833072e+00 accuracy=32.602896
2022-01-15 23:09:05,361 train mini-batch 082, loss=1.828529e+00 accuracy=32.868976
2022-01-15 23:09:06,629 train mini-batch 083, loss=1.823260e+00 accuracy=33.165923
2022-01-15 23:09:07,910 train mini-batch 084, loss=1.818917e+00 accuracy=33.272059
2022-01-15 23:09:09,186 train mini-batch 085, loss=1.814188e+00 accuracy=33.448401
2022-01-15 23:09:10,525 train mini-batch 086, loss=1.809985e+00 accuracy=33.656609
2022-01-15 23:09:11,805 train mini-batch 087, loss=1.807212e+00 accuracy=33.753551
2022-01-15 23:09:13,123 train mini-batch 088, loss=1.805502e+00 accuracy=33.778090
2022-01-15 23:09:14,468 train mini-batch 089, loss=1.802452e+00 accuracy=33.784722
2022-01-15 23:09:15,737 train mini-batch 090, loss=1.802207e+00 accuracy=33.756868
2022-01-15 23:09:16,991 train mini-batch 091, loss=1.800354e+00 accuracy=33.831522
2022-01-15 23:09:18,308 train mini-batch 092, loss=1.797006e+00 accuracy=33.988575
2022-01-15 23:09:19,656 train mini-batch 093, loss=1.794935e+00 accuracy=34.009309
2022-01-15 23:09:20,931 train mini-batch 094, loss=1.792207e+00 accuracy=34.095395
2022-01-15 23:09:22,271 train mini-batch 095, loss=1.788817e+00 accuracy=34.212240
2022-01-15 23:09:23,512 train mini-batch 096, loss=1.784950e+00 accuracy=34.262242
2022-01-15 23:09:24,756 train mini-batch 097, loss=1.781691e+00 accuracy=34.375000
2022-01-15 23:09:26,040 train mini-batch 098, loss=1.778612e+00 accuracy=34.485480
2022-01-15 23:09:27,372 train mini-batch 099, loss=1.776218e+00 accuracy=34.625000
2022-01-15 23:09:28,704 train mini-batch 100, loss=1.773024e+00 accuracy=34.777228
2022-01-15 23:09:29,944 train mini-batch 101, loss=1.768670e+00 accuracy=35.003064
2022-01-15 23:09:31,245 train mini-batch 102, loss=1.765178e+00 accuracy=35.118325
2022-01-15 23:09:32,502 train mini-batch 103, loss=1.762012e+00 accuracy=35.321514
2022-01-15 23:09:33,821 train mini-batch 104, loss=1.758563e+00 accuracy=35.550595
2022-01-15 23:09:35,132 train mini-batch 105, loss=1.755311e+00 accuracy=35.657429
2022-01-15 23:09:36,391 train mini-batch 106, loss=1.751253e+00 accuracy=35.835280
2022-01-15 23:09:37,717 train mini-batch 107, loss=1.747182e+00 accuracy=36.009838
2022-01-15 23:09:38,967 train mini-batch 108, loss=1.743478e+00 accuracy=36.152523
2022-01-15 23:09:40,291 train mini-batch 109, loss=1.740567e+00 accuracy=36.306818
2022-01-15 23:09:41,519 train mini-batch 110, loss=1.737619e+00 accuracy=36.444257
2022-01-15 23:09:42,749 train mini-batch 111, loss=1.732699e+00 accuracy=36.635045
2022-01-15 23:09:44,031 train mini-batch 112, loss=1.729108e+00 accuracy=36.794801
2022-01-15 23:09:45,362 train mini-batch 113, loss=1.725716e+00 accuracy=36.855811
2022-01-15 23:09:46,693 train mini-batch 114, loss=1.724101e+00 accuracy=36.929348
2022-01-15 23:09:47,907 train mini-batch 115, loss=1.718908e+00 accuracy=37.068966
2022-01-15 23:09:49,179 train mini-batch 116, loss=1.714343e+00 accuracy=37.232906
2022-01-15 23:09:50,514 train mini-batch 117, loss=1.712001e+00 accuracy=37.354343
2022-01-15 23:09:51,748 train mini-batch 118, loss=1.708806e+00 accuracy=37.500000
2022-01-15 23:09:52,975 train mini-batch 119, loss=1.704591e+00 accuracy=37.734375
2022-01-15 23:09:54,263 train mini-batch 120, loss=1.700545e+00 accuracy=37.913223
2022-01-15 23:09:55,594 train mini-batch 121, loss=1.698187e+00 accuracy=38.037910
2022-01-15 23:09:56,914 train mini-batch 122, loss=1.696232e+00 accuracy=38.109756
2022-01-15 23:09:58,170 train mini-batch 123, loss=1.693564e+00 accuracy=38.268649
2022-01-15 23:09:59,499 train mini-batch 124, loss=1.689756e+00 accuracy=38.475000
2022-01-15 23:10:00,756 train mini-batch 125, loss=1.686453e+00 accuracy=38.653274
2022-01-15 23:10:02,003 train mini-batch 126, loss=1.682497e+00 accuracy=38.816437
2022-01-15 23:10:03,287 train mini-batch 127, loss=1.679986e+00 accuracy=38.903809
2022-01-15 23:10:04,612 train mini-batch 128, loss=1.677697e+00 accuracy=39.038275
2022-01-15 23:10:05,932 train mini-batch 129, loss=1.674346e+00 accuracy=39.218750
2022-01-15 23:10:07,169 train mini-batch 130, loss=1.671890e+00 accuracy=39.348760
2022-01-15 23:10:08,532 train mini-batch 131, loss=1.668637e+00 accuracy=39.464962
2022-01-15 23:10:09,807 train mini-batch 132, loss=1.665704e+00 accuracy=39.532425
2022-01-15 23:10:11,063 train mini-batch 133, loss=1.662146e+00 accuracy=39.657183
2022-01-15 23:10:12,319 train mini-batch 134, loss=1.657804e+00 accuracy=39.884259
2022-01-15 23:10:13,651 train mini-batch 135, loss=1.653685e+00 accuracy=40.096507
2022-01-15 23:10:14,879 train mini-batch 136, loss=1.650279e+00 accuracy=40.180201
2022-01-15 23:10:16,154 train mini-batch 137, loss=1.646375e+00 accuracy=40.432518
2022-01-15 23:10:17,487 train mini-batch 138, loss=1.641903e+00 accuracy=40.647482
2022-01-15 23:10:18,721 train mini-batch 139, loss=1.638056e+00 accuracy=40.814732
2022-01-15 23:10:19,955 train mini-batch 140, loss=1.635172e+00 accuracy=40.946365
2022-01-15 23:10:21,239 train mini-batch 141, loss=1.631330e+00 accuracy=41.109155
2022-01-15 23:10:22,555 train mini-batch 142, loss=1.627546e+00 accuracy=41.324301
2022-01-15 23:10:23,886 train mini-batch 143, loss=1.624938e+00 accuracy=41.427951
2022-01-15 23:10:25,136 train mini-batch 144, loss=1.621041e+00 accuracy=41.594828
2022-01-15 23:10:26,467 train mini-batch 145, loss=1.617880e+00 accuracy=41.727312
2022-01-15 23:10:27,696 train mini-batch 146, loss=1.614523e+00 accuracy=41.836735
2022-01-15 23:10:28,934 train mini-batch 147, loss=1.612566e+00 accuracy=41.965794
2022-01-15 23:10:30,233 train mini-batch 148, loss=1.612135e+00 accuracy=42.030201
2022-01-15 23:10:31,556 train mini-batch 149, loss=1.608370e+00 accuracy=42.187500
2022-01-15 23:10:32,868 train mini-batch 150, loss=1.605586e+00 accuracy=42.290977
2022-01-15 23:10:34,110 train mini-batch 151, loss=1.601954e+00 accuracy=42.423931
2022-01-15 23:10:35,421 train mini-batch 152, loss=1.597813e+00 accuracy=42.626634
2022-01-15 23:10:36,673 train mini-batch 153, loss=1.593835e+00 accuracy=42.786120
2022-01-15 23:10:37,998 train mini-batch 154, loss=1.591134e+00 accuracy=42.872984
2022-01-15 23:10:39,254 train mini-batch 155, loss=1.587984e+00 accuracy=42.968750
2022-01-15 23:10:40,494 train mini-batch 156, loss=1.584374e+00 accuracy=43.093153
2022-01-15 23:10:41,838 train mini-batch 157, loss=1.580971e+00 accuracy=43.225870
2022-01-15 23:10:43,064 train mini-batch 158, loss=1.577751e+00 accuracy=43.356918
2022-01-15 23:10:44,327 train mini-batch 159, loss=1.575811e+00 accuracy=43.427734
2022-01-15 23:10:45,669 train mini-batch 160, loss=1.572312e+00 accuracy=43.546196
2022-01-15 23:10:46,904 train mini-batch 161, loss=1.567355e+00 accuracy=43.750000
2022-01-15 23:10:48,139 train mini-batch 162, loss=1.563198e+00 accuracy=43.903374
2022-01-15 23:10:49,449 train mini-batch 163, loss=1.560273e+00 accuracy=44.026296
2022-01-15 23:10:50,800 train mini-batch 164, loss=1.556060e+00 accuracy=44.204545
2022-01-15 23:10:52,122 train mini-batch 165, loss=1.552991e+00 accuracy=44.277108
2022-01-15 23:10:53,373 train mini-batch 166, loss=1.548816e+00 accuracy=44.423653
2022-01-15 23:10:54,696 train mini-batch 167, loss=1.546834e+00 accuracy=44.494048
2022-01-15 23:10:55,930 train mini-batch 168, loss=1.543333e+00 accuracy=44.646820
2022-01-15 23:10:57,259 train mini-batch 169, loss=1.540537e+00 accuracy=44.779412
2022-01-15 23:10:58,498 train mini-batch 170, loss=1.537547e+00 accuracy=44.919591
2022-01-15 23:10:59,785 train mini-batch 171, loss=1.534109e+00 accuracy=45.067224
2022-01-15 23:11:01,088 train mini-batch 172, loss=1.531385e+00 accuracy=45.186055
2022-01-15 23:11:02,438 train mini-batch 173, loss=1.528415e+00 accuracy=45.294540
2022-01-15 23:11:03,677 train mini-batch 174, loss=1.524690e+00 accuracy=45.482143
2022-01-15 23:11:04,918 train mini-batch 175, loss=1.521364e+00 accuracy=45.614347
2022-01-15 23:11:06,203 train mini-batch 176, loss=1.517517e+00 accuracy=45.780367
2022-01-15 23:11:07,540 train mini-batch 177, loss=1.514440e+00 accuracy=45.883076
2022-01-15 23:11:08,876 train mini-batch 178, loss=1.513207e+00 accuracy=45.940992
2022-01-15 23:11:10,120 train mini-batch 179, loss=1.510123e+00 accuracy=46.076389
2022-01-15 23:11:11,538 train mini-batch 180, loss=1.506990e+00 accuracy=46.184392
2022-01-15 23:11:12,881 train mini-batch 181, loss=1.503673e+00 accuracy=46.334135
2022-01-15 23:11:14,135 train mini-batch 182, loss=1.500464e+00 accuracy=46.439549
2022-01-15 23:11:15,460 train mini-batch 183, loss=1.497726e+00 accuracy=46.509851
2022-01-15 23:11:16,692 train mini-batch 184, loss=1.495508e+00 accuracy=46.570946
2022-01-15 23:11:17,984 train mini-batch 185, loss=1.492807e+00 accuracy=46.664987
2022-01-15 23:11:19,244 train mini-batch 186, loss=1.489826e+00 accuracy=46.774733
2022-01-15 23:11:20,518 train mini-batch 187, loss=1.486451e+00 accuracy=46.891622
2022-01-15 23:11:21,858 train mini-batch 188, loss=1.483907e+00 accuracy=46.965939
2022-01-15 23:11:23,089 train mini-batch 189, loss=1.481207e+00 accuracy=47.047697
2022-01-15 23:11:24,348 train mini-batch 190, loss=1.478425e+00 accuracy=47.169503
2022-01-15 23:11:25,635 train mini-batch 191, loss=1.474790e+00 accuracy=47.298177
2022-01-15 23:11:26,980 train mini-batch 192, loss=1.472121e+00 accuracy=47.360751
2022-01-15 23:11:28,318 train mini-batch 193, loss=1.469815e+00 accuracy=47.462951
2022-01-15 23:11:29,582 train mini-batch 194, loss=1.468394e+00 accuracy=47.548077
2022-01-15 23:11:30,851 train mini-batch 195, loss=1.465688e+00 accuracy=47.632334
2022-01-15 23:11:32,130 train mini-batch 196, loss=1.463990e+00 accuracy=47.691942
2022-01-15 23:11:33,611 train mini-batch 197, loss=1.460805e+00 accuracy=47.829861
2022-01-15 23:11:34,991 train mini-batch 198, loss=1.458247e+00 accuracy=47.934987
2022-01-15 23:11:36,243 train mini-batch 199, loss=1.455452e+00 accuracy=48.054688
2022-01-15 23:11:37,555 train mini-batch 200, loss=1.452417e+00 accuracy=48.196517
2022-01-15 23:11:38,968 train mini-batch 201, loss=1.449038e+00 accuracy=48.336943
2022-01-15 23:11:40,317 train mini-batch 202, loss=1.445769e+00 accuracy=48.460591
2022-01-15 23:11:41,633 train mini-batch 203, loss=1.442443e+00 accuracy=48.575368
2022-01-15 23:11:42,903 train mini-batch 204, loss=1.439295e+00 accuracy=48.727134
2022-01-15 23:11:44,238 train mini-batch 205, loss=1.437388e+00 accuracy=48.786408
2022-01-15 23:11:45,454 train mini-batch 206, loss=1.435297e+00 accuracy=48.852657
2022-01-15 23:11:46,735 train mini-batch 207, loss=1.432523e+00 accuracy=48.970853
2022-01-15 23:11:48,073 train mini-batch 208, loss=1.430309e+00 accuracy=49.058014
2022-01-15 23:11:49,309 train mini-batch 209, loss=1.427790e+00 accuracy=49.144345
2022-01-15 23:11:50,536 train mini-batch 210, loss=1.425092e+00 accuracy=49.244668
2022-01-15 23:11:51,808 train mini-batch 211, loss=1.421983e+00 accuracy=49.358785
2022-01-15 23:11:53,133 train mini-batch 212, loss=1.418709e+00 accuracy=49.471831
2022-01-15 23:11:54,456 train mini-batch 213, loss=1.416683e+00 accuracy=49.540012
2022-01-15 23:11:55,690 train mini-batch 214, loss=1.414512e+00 accuracy=49.629360
2022-01-15 23:11:56,992 train mini-batch 215, loss=1.411101e+00 accuracy=49.746817
2022-01-15 23:11:58,260 train mini-batch 216, loss=1.408487e+00 accuracy=49.855991
2022-01-15 23:11:59,589 train mini-batch 217, loss=1.405342e+00 accuracy=50.014335
2022-01-15 23:12:00,864 train mini-batch 218, loss=1.402611e+00 accuracy=50.135559
2022-01-15 23:12:02,196 train mini-batch 219, loss=1.400204e+00 accuracy=50.227273
2022-01-15 23:12:03,448 train mini-batch 220, loss=1.398063e+00 accuracy=50.318156
2022-01-15 23:12:04,705 train mini-batch 221, loss=1.395949e+00 accuracy=50.422297
2022-01-15 23:12:06,030 train mini-batch 222, loss=1.393994e+00 accuracy=50.476457
2022-01-15 23:12:07,248 train mini-batch 223, loss=1.390909e+00 accuracy=50.599888
2022-01-15 23:12:08,481 train mini-batch 224, loss=1.387662e+00 accuracy=50.736111
2022-01-15 23:12:09,747 train mini-batch 225, loss=1.384495e+00 accuracy=50.884956
2022-01-15 23:12:11,065 train mini-batch 226, loss=1.382613e+00 accuracy=50.956773
2022-01-15 23:12:12,292 train mini-batch 227, loss=1.380251e+00 accuracy=51.048520
2022-01-15 23:12:13,548 train mini-batch 228, loss=1.377486e+00 accuracy=51.153111
2022-01-15 23:12:14,816 train mini-batch 229, loss=1.375046e+00 accuracy=51.222826
2022-01-15 23:12:16,121 train mini-batch 230, loss=1.373423e+00 accuracy=51.285173
2022-01-15 23:12:17,433 train mini-batch 231, loss=1.369828e+00 accuracy=51.434537
2022-01-15 23:12:18,653 train mini-batch 232, loss=1.367717e+00 accuracy=51.528970
2022-01-15 23:12:19,895 train mini-batch 233, loss=1.365608e+00 accuracy=51.649306
2022-01-15 23:12:21,153 train mini-batch 234, loss=1.364386e+00 accuracy=51.735372
2022-01-15 23:12:22,472 train mini-batch 235, loss=1.361721e+00 accuracy=51.833951
2022-01-15 23:12:23,729 train mini-batch 236, loss=1.359950e+00 accuracy=51.892141
2022-01-15 23:12:25,087 train mini-batch 237, loss=1.358245e+00 accuracy=51.943277
2022-01-15 23:12:26,401 train mini-batch 238, loss=1.356462e+00 accuracy=52.052824
2022-01-15 23:12:27,640 train mini-batch 239, loss=1.354636e+00 accuracy=52.122396
2022-01-15 23:12:28,892 train mini-batch 240, loss=1.352540e+00 accuracy=52.236774
2022-01-15 23:12:30,252 train mini-batch 241, loss=1.349475e+00 accuracy=52.369576
2022-01-15 23:12:31,464 train mini-batch 242, loss=1.346797e+00 accuracy=52.475566
2022-01-15 23:12:32,724 train mini-batch 243, loss=1.344614e+00 accuracy=52.555072
2022-01-15 23:12:34,001 train mini-batch 244, loss=1.342074e+00 accuracy=52.627551
2022-01-15 23:12:35,355 train mini-batch 245, loss=1.340050e+00 accuracy=52.731199
2022-01-15 23:12:36,674 train mini-batch 246, loss=1.337093e+00 accuracy=52.859312
2022-01-15 23:12:37,919 train mini-batch 247, loss=1.334765e+00 accuracy=52.948589
2022-01-15 23:12:39,243 train mini-batch 248, loss=1.331798e+00 accuracy=53.074799
2022-01-15 23:12:40,487 train mini-batch 249, loss=1.328873e+00 accuracy=53.156250
2022-01-15 23:12:41,747 train mini-batch 250, loss=1.326308e+00 accuracy=53.249502
2022-01-15 23:12:43,003 train mini-batch 251, loss=1.325101e+00 accuracy=53.292411
2022-01-15 23:12:44,330 train mini-batch 252, loss=1.322214e+00 accuracy=53.396739
2022-01-15 23:12:45,676 train mini-batch 253, loss=1.320772e+00 accuracy=53.469488
2022-01-15 23:12:46,945 train mini-batch 254, loss=1.318538e+00 accuracy=53.541667
2022-01-15 23:12:48,287 train mini-batch 255, loss=1.316349e+00 accuracy=53.649902
2022-01-15 23:12:49,567 train mini-batch 256, loss=1.313493e+00 accuracy=53.787695
2022-01-15 23:12:50,841 train mini-batch 257, loss=1.310401e+00 accuracy=53.912306
2022-01-15 23:12:52,122 train mini-batch 258, loss=1.308405e+00 accuracy=54.005792
2022-01-15 23:12:53,458 train mini-batch 259, loss=1.306285e+00 accuracy=54.092548
2022-01-15 23:12:54,741 train mini-batch 260, loss=1.304023e+00 accuracy=54.178640
2022-01-15 23:12:56,016 train mini-batch 261, loss=1.302042e+00 accuracy=54.246183
2022-01-15 23:12:57,293 train mini-batch 262, loss=1.299540e+00 accuracy=54.348859
2022-01-15 23:12:58,634 train mini-batch 263, loss=1.297488e+00 accuracy=54.415246
2022-01-15 23:12:59,862 train mini-batch 264, loss=1.295174e+00 accuracy=54.492925
2022-01-15 23:13:01,215 train mini-batch 265, loss=1.292764e+00 accuracy=54.605263
2022-01-15 23:13:02,462 train mini-batch 266, loss=1.291342e+00 accuracy=54.675796
2022-01-15 23:13:03,680 train mini-batch 267, loss=1.289243e+00 accuracy=54.774953
2022-01-15 23:13:04,967 train mini-batch 268, loss=1.287131e+00 accuracy=54.867565
2022-01-15 23:13:06,287 train mini-batch 269, loss=1.284570e+00 accuracy=54.942130
2022-01-15 23:13:07,603 train mini-batch 270, loss=1.282619e+00 accuracy=55.004613
2022-01-15 23:13:08,842 train mini-batch 271, loss=1.280237e+00 accuracy=55.083869
2022-01-15 23:13:10,117 train mini-batch 272, loss=1.279251e+00 accuracy=55.139652
2022-01-15 23:13:11,451 train mini-batch 273, loss=1.277241e+00 accuracy=55.212135
2022-01-15 23:13:12,691 train mini-batch 274, loss=1.274953e+00 accuracy=55.284091
2022-01-15 23:13:13,913 train mini-batch 275, loss=1.272997e+00 accuracy=55.344203
2022-01-15 23:13:15,190 train mini-batch 276, loss=1.270918e+00 accuracy=55.420803
2022-01-15 23:13:16,520 train mini-batch 277, loss=1.268247e+00 accuracy=55.541817
2022-01-15 23:13:17,848 train mini-batch 278, loss=1.265829e+00 accuracy=55.628360
2022-01-15 23:13:19,119 train mini-batch 279, loss=1.263402e+00 accuracy=55.703125
2022-01-15 23:13:20,460 train mini-batch 280, loss=1.261021e+00 accuracy=55.794039
2022-01-15 23:13:21,724 train mini-batch 281, loss=1.258808e+00 accuracy=55.867686
2022-01-15 23:13:23,053 train mini-batch 282, loss=1.256439e+00 accuracy=55.962898
2022-01-15 23:13:24,309 train mini-batch 283, loss=1.254434e+00 accuracy=56.046435
2022-01-15 23:13:25,648 train mini-batch 284, loss=1.252437e+00 accuracy=56.107456
2022-01-15 23:13:26,889 train mini-batch 285, loss=1.249826e+00 accuracy=56.206294
2022-01-15 23:13:28,224 train mini-batch 286, loss=1.247438e+00 accuracy=56.309887
2022-01-15 23:13:29,465 train mini-batch 287, loss=1.244875e+00 accuracy=56.407335
2022-01-15 23:13:30,708 train mini-batch 288, loss=1.242212e+00 accuracy=56.504109
2022-01-15 23:13:31,998 train mini-batch 289, loss=1.239850e+00 accuracy=56.578664
2022-01-15 23:13:33,328 train mini-batch 290, loss=1.238091e+00 accuracy=56.652706
2022-01-15 23:13:34,656 train mini-batch 291, loss=1.236239e+00 accuracy=56.720890
2022-01-15 23:13:35,914 train mini-batch 292, loss=1.233944e+00 accuracy=56.799275
2022-01-15 23:13:37,250 train mini-batch 293, loss=1.232142e+00 accuracy=56.861182
2022-01-15 23:13:38,523 train mini-batch 294, loss=1.230003e+00 accuracy=56.949153
2022-01-15 23:13:39,849 train mini-batch 295, loss=1.228579e+00 accuracy=57.031250
2022-01-15 23:13:41,123 train mini-batch 296, loss=1.226777e+00 accuracy=57.102273
2022-01-15 23:13:42,379 train mini-batch 297, loss=1.225039e+00 accuracy=57.209522
2022-01-15 23:13:43,670 train mini-batch 298, loss=1.222780e+00 accuracy=57.316054
2022-01-15 23:13:44,923 train mini-batch 299, loss=1.220756e+00 accuracy=57.401042
